,Total_Matches,Total_Matches_Reg,Home_Matches_Reg,Total_Matches_AET,Home_Matches_AET,Total_Matches_Pens,Home_Matches_Pens,Home_Wins_Reg,Home_Ties_Reg,Away_Wins_Reg,Away_Ties_Reg,Home_Goals_Reg,Home_Goals_Conceded_Reg,Away_Goals_Reg,Away_Goals_Conceded_Reg,Home_Wins_AET,Home_Ties_AET,Away_Wins_AET,Away_Ties_AET,Home_Wins_Pens,Away_Wins_Pens,Reg_Win_%,Reg_Tie_%,AET_Win_%,AET_Tie_%,Pens_Win_%,Away_Reg_Win_%,Home_Reg_Win_%,Away_Reg_Tie_%,Home_Reg_Tie_%,Away_AET_Win_%,Home_AET_Win_%,Away_AET_Tie_%,Home_AET_Tie_%,Away_Pens_Win_%,Home_Pens_Win_%,Avg_Home_Goals_Reg,Avg_Home_Goals_Conceded_Reg,Avg_Away_Goals_Reg,Avg_Away_Goals_Conceded_Reg
ACF Fiorentina,14,14,7,0,0,0,0,4,2,3,1,13,7,10,12,0,0,0,0,0,0,0.5,0.21428571428571427,,,,0.42857142857142855,0.5714285714285714,0.14285714285714285,0.2857142857142857,,,,,,,1.8571428571428572,1.0,1.4285714285714286,1.7142857142857142
Dinamo Kiev,26,25,13,1,0,0,0,4,4,3,5,14,15,12,15,0,0,1,0,0,0,0.28,0.36,1.0,0.0,,0.25,0.3076923076923077,0.4166666666666667,0.3076923076923077,1.0,,0.0,,,,1.0769230769230769,1.1538461538461537,1.0,1.25
Arsenal,70,67,34,3,1,0,0,23,4,12,6,76,33,46,57,0,0,2,0,0,0,0.5223880597014925,0.14925373134328357,0.6666666666666666,0.0,,0.36363636363636365,0.6764705882352942,0.18181818181818182,0.11764705882352941,1.0,0.0,0.0,0.0,,,2.235294117647059,0.9705882352941176,1.393939393939394,1.7272727272727273
Real Madrid,90,80,41,10,5,1,1,35,6,24,10,119,32,82,45,1,1,5,0,1,0,0.7375,0.2,0.6,0.1,1.0,0.6153846153846154,0.8536585365853658,0.2564102564102564,0.14634146341463414,1.0,0.2,0.0,0.2,,1.0,2.902439024390244,0.7804878048780488,2.1025641025641026,1.1538461538461537
BATE Borisov,30,30,15,0,0,0,0,3,3,1,4,12,34,9,39,0,0,0,0,0,0,0.13333333333333333,0.23333333333333334,,,,0.06666666666666667,0.2,0.26666666666666666,0.2,,,,,,,0.8,2.2666666666666666,0.6,2.6
Steaua Bucuresti,12,12,6,0,0,0,0,0,2,0,2,4,12,1,10,0,0,0,0,0,0,0.0,0.3333333333333333,,,,0.0,0.0,0.3333333333333333,0.3333333333333333,,,,,,,0.6666666666666666,2.0,0.16666666666666666,1.6666666666666667
Bayern Munich,93,85,43,8,3,1,0,36,5,23,8,125,38,82,55,1,0,4,1,0,0,0.6941176470588235,0.15294117647058825,0.625,0.125,0.0,0.5476190476190477,0.8372093023255814,0.19047619047619047,0.11627906976744186,0.8,0.3333333333333333,0.2,0.0,0.0,,2.9069767441860463,0.8837209302325582,1.9523809523809523,1.3095238095238095
FC Porto,54,50,26,4,1,0,0,16,5,10,7,44,20,35,42,0,0,3,0,0,0,0.52,0.24,0.75,0.0,,0.4166666666666667,0.6153846153846154,0.2916666666666667,0.19230769230769232,1.0,0.0,0.0,0.0,,,1.6923076923076923,0.7692307692307693,1.4583333333333333,1.75
Fenerbahce,6,6,3,0,0,0,0,0,1,0,1,3,7,1,4,0,0,0,0,0,0,0.0,0.3333333333333333,,,,0.0,0.0,0.3333333333333333,0.3333333333333333,,,,,,,1.0,2.3333333333333335,0.3333333333333333,1.3333333333333333
Juventus,51,46,23,5,2,0,0,14,9,7,10,40,22,26,25,0,0,2,0,0,0,0.45652173913043476,0.41304347826086957,0.4,0.0,,0.30434782608695654,0.6086956521739131,0.43478260869565216,0.391304347826087,0.6666666666666666,0.0,0.0,0.0,,,1.7391304347826086,0.9565217391304348,1.1304347826086956,1.0869565217391304
